Chargecode,Description,CPT/HCPCS,Fee
2126173,"CATHETER, SAVI PREP TRAY",,780.00
2126174,TRAY SAVI-10 APPLICATOR,C1728,"11,000.00"
2126175,SHUNT NEUROSURGICAL LUMBOPERITONEAL K TUBE STERILE,,"3,096.00"
2126177,GRAFT BONE ARCH H10 MM SPACER PARALLEL OPEN DOOR LAMINOPLAS,,"4,512.00"
2126178,GRAFT BONE ARCH 8MM SPACER PARALLEL OPEN DOOR LAMINOPLASTY,,"4,512.00"
2126180,PLATE BONE ARCH TITAN MINI 12MM SPACING 35MM SPINAL 2 BEND,,"2,688.00"
2126181,NEEDLE ENDOSCOPIC ECHOTIP ULTRA 8CM 19GA 5.2-4.2FR BEVELED,,"1,600.00"
2126186,SEALANT HYDROGEL PROGEL,C2615,"3,700.00"
2126189,METAPHSIS 36MM CEMENTLESS REVERSED,C1776,"6,784.00"
2126194,CEMENT BONE SMARTSET 40 GM HIGH VISCOSITY,,940.00
2126200,PLATE BONE LEFT CLAVICLE 8 HOLE LOW PROFILE STRAIGHT,C1713,"3,956.00"
2126204,INSERT TIBIAL GMRS ML M2 L2 H13MM DISTAL FEM MOD ROTAT HING,C1776,"5,456.00"
2126205,CATHETER THROMBECTOMY TRELLIS-8 L80 CM L15 CM OD8 FR,C1757,"8,620.00"
2126221,BLOCK AUGMENTATION XS SMALL MEDIUM H10 MM DISTAL,,"2,971.00"
2126226,COMPONENT HUMERAL LATITUDE THREAD 2.5 SHORT,C1776,200.00
2126228,COMPONENT HUMERAL LATITUDE MED LT ELBOW SPOOL CENTEREOFFSET,C1776,"3,404.00"
2126229,SCREW BONE NATURAL NAIL TI6AL4V ALLOY L80 MM OD10.5 MM LAG,,"1,373.00"
2126231,SCREW BONE NATURAL NAIL 42.5MM 5MM CORTICAL FIXED ANGLE,,500.00
2126237,"BAHA SYSTEM, BIA300 4MM W 6MM ABUTMENT",L8690,"22,792.00"
2126240,INSERT TIBIAL PFC SIGMA UHMWPE 5 17.5MM KNEE ROTAT PLATFORM,C1776,"3,312.00"
2126251,ILIUM BLOCK 16MM,,"4,016.00"
2126252,ILIUM BLOCK 17MM,,"4,060.00"
2126254,"NAIL, CEPHALOMEDULLARY  LONG NATURAL 130CCD 38CMX11.5MM RT",,"5,632.00"
2126255,"SCREW, BONE NATURAL NAIL L110 MM OD10.5 MM LAG",,"1,373.00"
2126256,"BODY, CONE B ZMR 80MM 35MM FEMORAL HIP",C1776,"13,506.00"
2126257,"STEM, FEMORAL ZMR L185 MM OD16 MM TAPERED",C1776,"10,280.00"
2126262,"MASK, FULL LIFE FULL FACE LARGE",A7030,145.00
2126263,"CUSHION, FULL LIFE FULL FACE LARGE",A7031,60.00
2126272,"GRAFT,VASCULAR SAPHENOUS CRYOVEIN 80CM 4-5DIA",C1768,"35,800.00"
2126275,"PIN, GUIDE BREAKAWAY 2.5MM APG+",,"1,180.00"
2126289,"OFFSET, LATERAL 25MM MULTI AXIAL",,"2,180.00"
21263,REVIS OF EYE SOCKETS --FAC,21263,"12,791.00"
2126302,HEAD FEMORAL CERAMIC 42MM DYNASTY,C1776,"4,400.00"
2126303,LINER ACETABULAR 42MM A-CLASS STANDARD GROUP G DYNASTY,C1776,"3,020.00"
2126305,DRIVE SHAFT CANNULA PATH,,200.00
2126308,COMPONENT FEMORAL PFC SIGMA SZ2.5 RT KNEE POST STABILIZED,C1776,"5,600.00"
2126309,LINER CROSSLINKED STANDARD H11.9 MM OD64 MM ID36 MM,C1776,"2,400.00"
2126311,PLATE BONE OD3.5 MM LEFT DISTAL CLAVICLE 12 HOLE,,"3,956.00"
2126319,COMPONENT FEMORAL VANGUARD INTERLOK L70MM LFT,C1776,"5,800.00"
2126321,COMPONENT FEMORAL VANGUARD INTERLOK L62.5MM RT,C1776,"5,800.00"
2126322,PLATE BONE VECTRA TITANIUM L32 MM CERVICAL SPINE 2 LEVEL,,"3,388.00"
2126325,PLATE BONE LARGE RIGHT CLAVICLE 8 HOLE NARROW PROFILE,C1713,"4,512.00"
2126335,SHELL ACETABULAR OD60 MM UNIHOLE CONTINUUM,C1776,"4,800.00"
2126336,LINER ACETABULAR LONGEVITY NEUTRAL MM 60MMX40MM CONTINUUM,C1776,"2,400.00"
2126338,LINER ACETABULAR LONGEVITY NEUTRAL LL 58MMX40MM CONTINUUM,C1776,"2,400.00"
2126341,CATH ANGIO OPTITORQUE 5FR OD4.5MM 110CM RADIALTIGER,,100.00
2126350,SLEEVE CENTERING S-ROM ZTT POROUS 20 D LARGE,,"2,000.00"
2126353,TRAY SAVI-8 APPLICATOR,C1728,"11,000.00"
2126357,"MASK, SWIFT FX FOR HER",A7034,75.00
2126361,"SHEATH, INTRO TEAR AWAY 12FR INTRADYN",C1894,204.00
2126362,"SHEATH, INTRO TEAR AWAY 14FR INTRADYN",C1894,266.00
2126363,"GUIDEWIRE, AMPLATZ EXTRA STIFF  L80CM OD.035IN STRAIGHT",C1769,74.00
2126364,"GUIDEWIRE, AMPLATZ EXTRA STIFF  260CM .035IN STRT EXCHANGE",C1769,113.00
2126365,"GUIDEWIRE, AMPLATZ EXTRA STIFF  L180CM OD.035IN STRAIGHT",C1769,96.00
2126366,"STEM, CEMENTRALIZER PMMA OD13MM DISTAL FEMORAL",C1776,455.00
2126367,"STEM, FEMORAL SUMMIT SZ 7 HIP CEMENTED STANDARD OFFSET",C1776,"3,400.00"
2126374,STEM HUMERAL AEQUALIS L130 MM OD7 MM SHOULDER REVERSED,C1776,"16,936.00"
2126382,"CUP, ACETABULAR OD50MM PINNACLE GRIPTION",C1776,"4,000.00"
2126386,UNIVERSAL FEM SLEEVE CEMENTED SZ 20 MM,,"10,121.00"
2126389,SPACER SPINAL OPAL L32MM X W10MM X H13MM POSTERIOR LUMBAR,,"11,392.00"
2126391,HEAD HUMERAL AEQUALIS COBALT CHROME +18 MM OD48 MM SHOULDER,C1776,"18,232.00"
2126392,ANCHOR SUTURE 3.5MM SZ2 PITON NITINOL KNOTLESS BLUE WHITE,C1776,"1,580.00"
2126394,PLATE BONE MEDIUM LEFT CLAVICLE 8 HOLE LOW PROFILE STERILE,C1776,"3,420.00"
2126401,INSERT TIBIAL SZ 5 RT MEDIAL LFT LATERAL,C1776,"3,440.00"
2126402,COMPONENT FEMORAL SZ 5 RIGHT MEDIAL LEFT LATERAL KNEE,C1776,"8,000.00"
2126408,"SCREW, BONE L38 MM OD4.5 MM AEQUALIS SHOULDER",C1776,540.00
2126412,"TIP, DRIVER HEXAGONAL 3.5MM",,672.00
2126418,"GRAFT, ENDO ZENITH FLEX L96 MM OD28 MM OD20 FR",C1874,"33,832.00"
2126420,"SCREW, BONE CANCELLOUS 4.5MM 33MM INVERSE/REVERSE SHLDR",,260.00
2126434,"STENT, VIABIL 10MMX10CM, WITH HOLES, BILIARY",C1874,"8,491.00"
2126442,DRILL SURG BAHA 4MM WIDENING CNTRSNK,,900.00
2126443,"BAHA SYSTEM, BI300 4MM SEPARATE ABUTMENT",L8690,"25,452.00"
2126445,"BAHA SYSTEM, BI300 3MM SEPARATE ABUTMENT",L8690,"25,452.00"
2126446,COVER SCREW CONICAL,,740.00
2126450,"BEARING, MENISCAL 3MM LARGE RIGHT PHASE 3, OXFORD",C1776,"3,360.00"
2126451,"PLATE, DYNAMIC, 1-LEVEL, 12MM SLIMFUSE",,"3,840.00"
2126466,"NAIL, CEPHALOMEDULLARY LONG 130CCD 40CMX11.5MM RT",C1713,"5,632.00"
2126470,"ROD, DUAL BALL L25MM SPHERX DBR II TITANIUM",,"4,284.00"
2126471,"ROD, DUAL BALL L27.5MM SPHERX DBR II TITANIUM",,"4,284.00"
2126472,"CAGE, COROENT 5D LARGE L30 MM X W10 MM X H10 MM",,"12,000.00"
2126480,"CUSHION AND FLAP, BLUE COMFORTGEL SMALL",A7032,30.00
2126481,"MASK, BLUE COMFORTGEL SMALL",A7034,75.00
2126497,"BEARING, MENISCAL THICKNESS 3, LEFT SMALL OXFORD",C1776,"3,360.00"
2126498,"COMPONENT, FEMORAL 67.5MM LEFT KNEE VANGUARD INTERLOK",C1776,"5,800.00"
2126518,SCREW BONE ASCENT L34 MM OD3.5 MM OCCIPITAL MULTIAXIAL,,"2,656.00"
2126537,PLATE TIBIAL SZ 6 56MMX33MM RT MEDIAL LFT LATERAL,C1776,"5,350.00"
2126541,"ART SURF, SZ2 10MM HIGH FLEX",C1776,"2,000.00"
2126565,COMPONENT FEMORAL SZ 3 LEFT CEMENTED GENDER PFJ,C1776,"12,600.00"
2126569,COMPONENT FEMORAL SZ 5 RIGHT CEMENTED GENDER PFJ,C1776,"12,600.00"
2126577,"ART SURF, NEXGEN CR FLEX PROLONG  C-H/1,2 SPUR, 12MM",C1776,"2,400.00"
2126581,"ART SURF, NEXGEN FLEX PROLONG CR  C,H/7,10 BLU, 17MM",C1776,"2,400.00"
2126610,PACKING NASAL NASOPORE FOAM STANDARD L8 CM,,837.00
2126611,"SCREW, LOCKING LCP L42MM OD3.5MM SELF TAPPING STARDRIVE",,630.00
2126612,"SCREW, LOCKING L46MM OD3.5MM SELF TAPPING STARDRIVE",,609.00
2126615,"TRAY, TIBIAL FINNED CRUCIATE L83MM",C1776,"3,400.00"
2126621,"HEAD, HUMERAL OD47 MM EXPANDED EQUINOXE",C1776,"4,200.00"
2126643,STEM TAPERED L135 MM D14MM ZMR,C1776,"9,012.00"
2126659,TUBE THORACIC MONTGOMERY SAFE-T-TUBE 13MM,,748.00
2126682,"ART SURF, ANTERIOR CONSTRAINED 3-4/YELLOW, 20MM NEXGEN",C1776,"2,400.00"
21267,"ORBITAL REPOSITON,PERIORB OSTEOMOTIES,UNILAT,W/ONE GRAFT",21267,"12,791.00"
2126719,"SHELL, TRABECULAR METAL ACETABULAR  44MM CLUSTER-HOLE",C1776,"4,800.00"
2126721,"SHELL, TRABECULAR METAL ACETABULAR  46MM CLUSTER-HOLE",C1776,"4,800.00"
2126726,"SHELL, TRABECULAR METAL ACETABULAR  68MM CLUSTER-HOLE",C1776,"4,800.00"
2126750,"LINER, HIGHLY CROSSLINKED STANDARD  LONGEVITY 56X36MM",C1776,"2,400.00"
2126754,"LINER, HIGHLY CROSSLINKED STANDARD  LONGEVITY 60X32MM",C1776,"2,400.00"
2126757,"LINER, ACETAB II NEUTRAL 52MM 32MM LONGEVITY",C1776,"2,400.00"
2126758,SHELL ACETABULAR CONTINUUM GG OD48 MM UNIHOLE,C1776,"4,800.00"
2126759,"HEAD, DELTA ARTICUL/EZE 12/14 28MM +5",C1776,"7,372.00"
2126761,CIRCUIT BRTHG DISP 2 CAP CLSR BILEVEL FLTR NONHEAT,,31.00
2126762,LINER CROSSLINKED HIGHLY LONGEVITY GG NEUTRAL 48MMX32MM,C1776,"2,400.00"
2126776,HEAD OFFSET 11 MM,,"2,180.00"
2126783,NAIL LONG CEPHALOMEDULLARY130D L42CM OD11.5MM LEFT,,"5,632.00"
2126784,SCREW CORTICAL L55 MM OD5 MM FIXED ANGLE NATURAL NAIL,,500.00
2126785,SCREW LAG L115 MM OD10.5 MM NATURAL NAIL,,"1,373.00"
2126796,SCREW BONE USS TITANIUM L50 MM OD9 MM SPINAL SIDE OPENING,,"2,400.00"
2126798,CATHETER ULTRASOUND ACUNAV L90 CM OD8FR,C1759,"12,136.00"
2126800,PLATE BONE RIGHT CLAVICLE 8 HOLE LOW PROFILE STRAIGHT,,"4,512.00"
2126808,LINER LONGVTY HIGH CROSSLNK POLY LINR ELEVAT RIM 36MM SZ 11,C1776,"2,400.00"
2126809,SCREW BONE NATURAL NAIL TI6AL4V ALLOY L90 MM OD10.5 MM LAG,,"5,632.00"
2126841,DEVICE TISSUE REMOVAL MYOSURE,,"4,534.00"
2126842,SEAL SET MYOSURE,,40.00
2126845,ROD SPINAL SPHERX DBR TITANIUM L22.5 MM 2 BALL,,"4,000.00"
2126847,"SCREW, LOCK SPINAL 6.25 MM ROD SPHERX",,700.00
2126854,SCREW BONE L23 MM OD4.5 MM SHOULDER NONLOCKING AEQUALIS,,264.00
2126855,CMNT BONE ENDUR SST 40GM MED VISCOSITY,,200.00
2126856,CMNT BONE SST 40GM GMV EO,,940.00
2126857,CMNT BONE STRL ENDUR SST 40GM HIGH VISC,,200.00
2126860,"CABLE BUTTON, 2.5MM HEX DRIVE, NCB LOCKING PLATE",,549.00
2126908,"LINER, STANDARD 10 DEGREE XLPE  44X28MM LONGEVITY",C1776,"2,400.00"
2126971,SCREW BONE TITANIUM L16 MM OD3 MM CORTICAL LOW PROFILE,,632.00
2126973,SCREW BONE TITANIUM L18 MM OD3 MM CORTICAL LOW PROFILE,,632.00
2126976,SCREW BONE L26 MM OD5 MM CORTICAL,,469.00
2126977,SCREW BONE L60 MM OD5 MM CORTICAL SELF TAPPING,,469.00
2126978,SCREW CORTICAL NCB PROTASUL-64 L80MM OD5MM SELF TAPPING,,469.00
2126979,SCREW CORTICAL NCB L30 MM OD5 MM SELF TAPPING,,469.00
2126980,"PLATE, FEMUR LEFT 15 HOLE L317MM NCB",,"4,911.00"
2126981,"DEVICE, FIXATION 5MM SECURESTRAP ABSORBABLE",,"3,802.00"
2126982,CAP END NCB PROXIMAL HUMERAL LOCKING INTRAMEDULLARY NAIL,,810.00
2126983,SCREW BONE NCB PROTASUL-64 70MMXMM CANCELLOUS SELF TAPPING,,402.00
2126984,SCREW BONE NCB PROTASUL L75 MM L32 MM OD5 MM CANCELLOUS,,402.00
2126985,SCREW BONE NCB L80 MM OD5 MM CANCELLOUS FEMORAL,,402.00
2126986,SCREW BONE NCB L85 MM OD5 MM CANCELLOUS FEMORAL,,402.00
2126987,WIRE FIXATION KIRSCHNER OD2 MM,,84.00
21270,"*MALAR AUGMENTATION,PROSTHETIC MATERIAL--FAC",21270,"12,791.00"
2127003,STEM FEMORAL FITMORE B SZ 6 HIP,C1776,"8,600.00"
2127008,STEM FEMORAL FITMORE A 2 HIP 12/14,C1776,"8,600.00"
2127048,"LINER, STANDARD 20 DEGREE XLPE  68X28MM LONGEVITY",C1776,"2,400.00"
2127123,"KIT, ACCESSORY NEUROSTIM STIMLOC",,"1,800.00"
2127125,"PROS, EYELID GOLD 0.6GM THIN PROFILE",,900.00
2127126,"PROS, EYELID GOLD 1.0GM THIN PROFILE",,"1,140.00"
2127127,"PROS, EYELID GOLD 1.4 GM THIN PROFILE",,"1,020.00"
2127130,"KIT, FIXATION SYNDESMOSIS TIGHTROPE, CANNULATED, TITANIUM",,"3,520.00"
2127140,"STEM, FEMORAL TAPER REDUCED NECK STANDARD OFFSET M/L SZ 4",C1776,"7,800.00"
2127141,"STEM, FEMORAL TAPER REDUCED NECK EXTENDED OFFSET M/L SZ 4",C1776,"7,800.00"
2127142,"STEM, FEMORAL TAPER REDUCED NECK STANDARD OFFSET M/L SZ 5",C1776,"7,800.00"
2127143,"STEM, FEMORAL TAPER M/L SZ 5.0 EXTENDED OFFSET",C1776,"7,800.00"
2127144,"STEM, FEMORAL TAPER REDUCED NECK EXTENDED OFFSET M/L SZ 5",C1776,"7,800.00"
2127145,"STEM, FEMORAL TAPER M/L SZ 6.0 STANDARD OFFSET",C1776,"7,800.00"
2127146,"STEM, FEMORAL TAPER REDUCED NECK STANDARD OFFSET M/L SZ 6",C1776,"7,800.00"
2127147,"STEM, FEMORAL TAPER M/L SZ 6.0 EXTENDED OFFSET",C1776,"7,800.00"
2127149,"STEM, FEMORAL TAPER M/L SZ 7.5 STANDARD OFFSET",C1776,"7,800.00"
2127150,"STEM, FEMORAL TAPER REDUCED NECK STANDARD OFFSET M/L SZ 7.5",C1776,"7,800.00"
2127151,"STEM, FEMORAL TAPER M/L SZ 7.5 EXTENDED OFFSET",C1776,"7,800.00"
2127152,"STEM, FEMORAL TAPER REDUCED NECK EXTENDED OFFSET M/L SZ 7.5",C1776,"7,800.00"
2127153,"STEM, FEMORAL TAPER M/L SZ 9.0 STANDARD OFFSET",C1776,"7,800.00"
2127154,"STEM, FEMORAL TAPER REDUCED NECK STANDARD OFFSET M/L SZ 9",C1776,"7,800.00"
2127155,"STEM, FEMORAL TAPER M/L SZ 9.0 EXTENDED OFFSET",C1776,"7,800.00"
2127156,"STEM, FEMORAL TAPER REDUCED NECK EXTENDED OFFSET M/L SZ 9",C1776,"7,800.00"
2127157,"STEM, FEMORAL TAPER M/L SZ 10.0 STANDARD OFFSET",C1776,"7,800.00"
2127158,"STEM, FEMORAL TAPER REDUCED NECK STANDARD OFFSET M/L SZ 10",C1776,"7,800.00"
2127159,"STEM, FEMORAL TAPER M/L SZ 10.0 EXTENDED OFFSET",C1776,"7,800.00"
2127161,"STEM, FEMORAL TAPER M/L SZ 11.0 STANDARD OFFSET",C1776,"7,800.00"
2127162,"STEM, FEMORAL TAPER REDUCED NECK STANDARD OFFSET M/L SZ 11",C1776,"7,800.00"
2127163,"STEM, FEMORAL TAPER M/L SZ 11.0 EXTENDED OFFSET",C1776,"7,800.00"
2127165,"STEM, FEMORAL TAPER M/L SZ 12.5 STANDARD OFFSET",C1776,"7,800.00"
2127166,"STEM, FEMORAL TAPER REDUCED NECK STAND OFFSET M/L SZ 12.5",C1776,"7,800.00"
2127167,"STEM, FEMORAL TAPER M/L SZ 12.5 EXTENDED OFFSET",C1776,"7,800.00"
2127168,"STEM, FEMORAL TAPER REDUCED NECK EXT OFFSET M/L SZ 12.5",C1776,"7,800.00"
2127169,"STEM, FEMORAL TAPER SZ M/L  13.5 STANDARD OFFSET",C1776,"7,800.00"
2127170,"STEM, FEMORAL TAPER SZ M/L  13.5 EXTENDED OFFSET",C1776,"7,800.00"
2127171,"STEM, FEMORAL TAPER SZ M/L  15.0 STANDARD OFFSET",C1776,"7,800.00"
2127172,"STEM, FEMORAL TAPER SZ M/L  15.0 EXTENDED OFFSET",C1776,"7,800.00"
2127173,"STEM, FEMORAL TAPER SZ M/L  16.25 STANDARD OFFSET",C1776,"7,800.00"
2127174,"STEM, FEMORAL TAPER SZ M/L  16.25 EXTENDED OFFSET",C1776,"7,800.00"
2127175,"STEM, FEMORAL TAPER SZ M/L  17.5 STANDARD OFFSET",C1776,"7,800.00"
2127177,"STEM, FEMORAL TAPER SZ M/L  20.0 STANDARD OFFSET",C1776,"7,800.00"
2127181," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 5",C1776,"8,600.00"
2127182," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 6",C1776,"8,600.00"
2127183," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 7.5",C1776,"8,600.00"
2127184," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 9",C1776,"8,600.00"
2127185," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 10",C1776,"8,600.00"
2127186," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 11",C1776,"8,600.00"
2127187," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 12.5",C1776,"8,600.00"
2127189," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 15",C1776,"8,600.00"
2127190," STEM, FEMORAL M/L TAPER KINECTIV  SIZE 16.25",C1776,"8,600.00"
2127213,"STEM, FEM 6IN BEADED FC 13X160MM STD BODY STD NECK VRSYS",C1776,"8,600.00"
2127243,"STEM ,FEMORAL FITMORE C SZ 4 HIP 12/14 TAPER",C1776,"8,600.00"
2127244,PLATE BONE 34MM REFLEX HYBRID SKYLINE ANTERIOR CERVICAL,C1776,"3,388.00"
2127245,SCREW BONE L14 MM SPINAL SELF TAPPING VARIABLE ANGLE,,688.00
2127247,SCREW BONE 14MM SKYLINE ANTERIOR CERVICAL SELF TAPPING,,688.00
2127251,"TRAY, TIBIAL SZ4 LT MED RT LAT UNI FIXED-BEARING SIGMA",C1776,"3,440.00"
2127252,"COMPONENT, FEMORAL SZ4 LT MEDIAL RT LAT UNICEMENTED SIGMA",C1776,"8,000.00"
2127262,"ANCHOR, SUTURE BIO-PUSHLOCK MINI L8 MM OD2.5 MM SHOULDER",,"1,360.00"
2127265,NEEDLE COLAPINTO BIOPSY,,"1,636.00"
2127273,STEM FEMORAL SUMMIT SZ 8 12/14 STANDARD OFFSET TAPERED,C1776,"7,200.00"
2127287,BODY FEMORAL ZMR XL AA- L78MM EXT OFFSET,C1776,"13,506.00"
2127288,TRAY SAVI-6 APPLICATOR,C1728,"11,000.00"
2127290,"SHELL, REVISION L60 MM TRABECULAR METAL",C1776,"14,856.00"
2127292,"SCREW, BONE MULTIAXIAL L28 MM OD3.5 MM ASCENT",,"2,656.00"
2127311,"KIT, BOOT ACCESSORY NEUROSTIMULATOR",,360.00
2127313,PLATE BONE VARIAX RIGHT FOOT 5 HOLE CURVED,,"4,476.00"
2127317,STEM FEMORAL SUMMIT SZ3 12/14 135MM STANDARD OFFSET TAPERED,C1776,"7,200.00"
2127318,WIRE FIXATION KIRSCHNER L100 MM OD.8 MM,,232.00
2127319,PIN ORTHO STEINMANN 2.5MM 100MM,,296.00
2127345,"STEM, FEM VERSYS 6IN BEADED FC 20X160MM STD BODY STD NECK",C1776,"8,600.00"
2127360,"NECK IMPLANT, M/L TAPER KINECTIV  K",C1776,"1,400.00"
2127361,"NECK IMPLANT, M/L TAPER KINECTIV  K1",C1776,"1,400.00"
2127362,"NECK IMPLANT, M/L TAPER KINECTIV  S",C1776,"1,400.00"
2127366,"NECK IMPLANT, M/L TAPER KINECTIV  E",C1776,"1,400.00"
2127367,"NECK IMPLANT, M/L TAPER KINECTIV  E1",C1776,"1,400.00"
2127368,"NECK IMPLANT, M/L TAPER KINECTIV  P",C1776,"1,400.00"
2127369,"NECK IMPLANT, M/L TAPER KINECTIV  P1",C1776,"1,400.00"
2127373,"NECK IMPLANT, M/L TAPER KINECTIV  E2",C1776,"1,400.00"
2127374,"NECK IMPLANT, M/L TAPER KINECTIV  B",C1776,"1,400.00"
2127375,"NECK IMPLANT, M/L TAPER KINECTIV  BB",C1776,"1,400.00"
2127392,"STEM, CEMENTED VERSYS ADVOCATE  11X120 STANDARD",C1776,"7,400.00"
2127397,"STEM, CEMENTED VERSYS ADVOCATE  13X130 EXTENDED",C1776,"7,400.00"
2127400,"STEM, CEMENTED VERSYS ADVOCATE  14X135 EXTENDED",C1776,"7,400.00"
2127402,"STEM, CEMENTED VERSYS ADVOCATE  15X140 STANDARD",C1776,"7,400.00"
2127404,"STEM, CEMENTED VERSYS ADVOCATE  15X140 EXTENDED",C1776,"7,400.00"
2127406,"STEM, CEMENTED VERSYS ADVOCATE  16X145 STANDARD",C1776,"7,400.00"
2127408,"STEM, CEMENTED VERSYS ADVOCATE  16X145 EXTENDED",C1776,"7,400.00"
2127412,"STEM, PRIMARY TM 15MM EXTENDED",C1776,"9,400.00"
2127413,"STEM, PRIMARY TM 16MM STANDARD",C1776,"9,400.00"
2127414,"STEM, PRIMARY TM 16MM EXTENDED",C1776,"9,400.00"
2127415,"STEM, PRIMARY TM 17MM STANDARD",C1776,"9,400.00"
2127419,"HEAD, FEMORAL 12/14 COCR 22MM +0",C1776,"1,800.00"
2127435,"LINER, CONTINUUM   NEUTRAL, 54 JJ, X32MM",C1776,"2,400.00"
2127438,"LINER, CONTINUUM   NEUTRAL, 58 LL, X32MM",C1776,"2,400.00"
2127441,"LINER, CONTINUUM   NEUTRAL, 62 NN, X32MM",C1776,"2,400.00"
2127444,"LINER, CONTINUUM   NEUTRAL, 66 PP, X32MM",C1776,"2,400.00"
2127448,"LINER, HXPE ELEVATED GG 32MM",C1776,"2,400.00"
2127451,"LINER, HXPE ELEVATED II 32MM",C1776,"2,400.00"
2127453,"LINER, HXPE ELEVATED JJ 32MM",C1776,"2,400.00"
2127456,"LINER, CONTINUUM   NEUTRAL, 64 OO, X36MM",C1776,"2,400.00"
2127461,LINER ACETAB MM 60MM 36MM LONGEVITY,C1776,"2,400.00"
2127462,"STENT, COVERED ICAST 8MMX38MMX120CM 5FR",C1874,"10,300.00"
2127465,LINER ACETAB NN 62MM 36MM LONGEVITY,C1776,"2,400.00"
2127474,LINER ACETAB QU 68MM 36MM LONGEVITY,C1776,"2,400.00"
2127475,"SHELL, CONTINUUM CONTINUUM CLUSTER 48 GG",C1776,"4,800.00"
2127476,"SHELL, CONTINUUM CONTINUUM , UNI, 62 NN",C1776,"4,800.00"
2127477,"SHELL, CONTINUUM CONTINUUM CLUSTER 62 NN",C1776,"4,800.00"
2127479,"SHELL, CONTINUUM CONTINUUM  CLUSTER 64 OO",C1776,"4,800.00"
2127481,"SHELL, CONTINUUM CONTINUUM  CLUSTER 66 PP",C1776,"4,800.00"
2127483,"SHELL, CONTINUUM CONTINUUM  CLUSTER 68 QU",C1776,"4,800.00"
2127495,"HEAD, METASUL  32, 12/14, 32 X-3.5",C1776,"1,800.00"
2127496,"HEAD, METASUL  32, 12/14, 32 X 0",C1776,"1,800.00"
2127498,"HEAD, METASUL  32, 12/14, 32 X+7.0",C1776,"2,600.00"
2127499,"HEAD, METASUL  32, 12/14, 32 X+10.5",C1776,"1,800.00"
21275,REVISION ORBITOFACIAL BONES--FAC,21275,"12,791.00"
2127500,"HEAD, METASUL  36, 12/14, 36 X-3.5",C1776,"1,800.00"
2127502,"HEAD, METASUL  36, 12/14, 36 X+3.5",C1776,"1,800.00"
2127503,"HEAD, METASUL  36, 12/14, 36 X+7.0",C1776,"1,800.00"
2127504,"HEAD, METASUL  36, 12/14, 36 X+10.5",C1776,"1,800.00"
2127505,"HEAD, METASUL  40, 12/14, 40 X-3.5",C1776,"1,800.00"
2127507,"HEAD, METASUL  40, 12/14, 40 X+3.5",C1776,"1,800.00"
2127513,"STEM, VERSYS FM TAPER HATCP 17X150 STD BODY STD NECK",C1776,"8,600.00"
2127522,"SLEEVE, S-ROM PRX ZTT, 16B-LRG",,"2,000.00"
2127523,"SLEEVE, S-ROM PRX ZTT, 18B-SML",,"2,000.00"
2127524,"SLEEVE, S-ROM PRX ZTT, 18B-LRG",,"2,000.00"
2127525,"HEAD, FEMORAL S-ROM COCR 28+6",C1776,"3,600.00"
2127527,"STEM, S-ROM STD,36NK,16X11X150",C1776,"5,200.00"
2127528,"STEM, S-ROM STD,36NK,18X13X160",C1776,"5,200.00"
2127529,"STEM, HIP SZ5 12/14 B EXTENDED OFFSET TAPER",C1776,"8,600.00"
2127530,"INSERT, ACETABULAR 10D +4 OD62 MM ID36 MM HIP",C1776,"2,228.00"
2127532,SCREW BONE TITANIUM L14 MM OD3.5 MM LOCKING NONSTERILE ULS,,301.00
2127533,SCREW BONE TITANIUM L16 MM OD3.5 MM LOCKING NONSTERILE ULS,,301.00
2127537,COMPONENT FEMORAL VANGUARD INTERLOK L70MM RT KNEE CEMENTED,C1776,"5,800.00"
2127539,STEM HIP UNCEMENTED A SIZE 6 TAPER 12/14 FITMORE,C1776,"8,600.00"
2127543,STEM FEMORAL 11/13 STD HIP S-ROM 20MM 15MM 36MM 165MM,C1776,"5,200.00"
2127544,STEM FEM 11/13 STD HIP S-ROM 22MM 17MM 36MM 165MM CMNTLS,C1776,"5,200.00"
2127551,STEM FEM 11/13 STD HIP S-ROM 16MM 11MM 30MM 150MM CMNTLS,C1776,"5,200.00"
2127552,STEM FEMORAL STD NECK HIP S-ROM 30MM,C1776,"5,200.00"
2127556,STEM FEM +8MM 11/13 STD HIP SROM 18MM 13MM 36MM 160MM LAT,C1776,"5,200.00"
2127558,STEM FEM +8MM 11/13 STD HIP SROM 22MM 17MM 36MM 165MM LAT,C1776,"5,200.00"
2127559,STEM FEM +8MM 11/13 STD HIP SROM 24MM 19MM 36MM 175MM LAT,C1776,"5,200.00"
2127601,SLEEVE CNTR 14B SM PROX FEMORAL HIP S-ROM ZTT CMNTLS POROUS,,"2,000.00"
2127605,SLEEVE CNTR 16D SM PROX FEMORAL HIP S-ROM ZTT CMNTLS POROUS,,"2,000.00"
